Name,ProductGroup,SKU,May,June,July,August,september,Quantity,Price,LEAD TIME,THRESHOLD VALUE,TotalSales,2025-10,Cluster,Deadstock
MADRE DE CACAO OINTMENT 120G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0027,0,0.0,0,0,0,0.0,80.0,5,3,176.0,0,0,1
MADRE DE CACAO OINTMENT 30G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0028,0,0.0,0,0,0,0.0,30.0,5,3,76.0,0,0,1
MADRE DE CACAO OINTMENT 60G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0029,0,0.0,0,0,0,0.0,57.3,5,3,130.6,0,0,1
MYCOCIDE SHAMPOO 150ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0030,0,1.0,2,0,3,4.0,360.0,17,4,782.0,0,0,1
PET BIOLINE WHITE CAT SHAMPOO 200ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0032,0,0.0,0,0,0,0.0,100.0,3,3,212.0,0,0,1
VETNODERM (SULFUR SOAP) 145G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0034,0,0.0,0,0,0,0.0,100.0,14,3,234.0,0,0,1
VETNODERM CREAM 10G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0035,0,0.0,0,0,0,0.0,100.0,14,3,234.0,0,0,1
VETNODERM SOAP (ORIG) ANTI TICK AND FLEA 145G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0036,0,0.0,0,0,0,0.0,0.0,14,3,34.0,0,0,1
VETNODERM SOAP MDC 145G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0037,0,0.0,0,0,0,0.0,0.0,14,3,34.0,0,0,1
YINGTE PET TOOTHPASTE 75G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0038,0,0.0,0,0,0,0.0,25.0,14,3,84.0,0,0,1
ACTION ULTRA DISENFECTANT CLEANING SPRAY,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0039,0,1.0,0,1,0,7.0,98.0,14,4,250.0,0,0,1
DERMOVET SOAP 90G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0040,1,1.0,3,1,1,7.0,120.0,17,5,312.0,0,0,1
NURTURE - ALL PURPOSE CLEANSING WIPES 15+5 SHEETS,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0041,0,0.0,0,0,0,0.0,24.15,15,3,84.3,0,0,1
NURTURE - ALL PURPOSE CLEANSING WIPES 80+10 SHEETS,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0042,0,0.0,0,0,0,0.0,78.05,15,3,192.1,0,0,1
PET SOLUTION BRAND-MADRE DE CACAO OCEAN FRESH 330ML REPACK SHAMPOO,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0044,0,0.0,0,0,0,0.0,21.0,15,3,78.0,0,0,1
PET WIPES -PET CARE ZOOM 80 SERIES,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0045,6,6.0,3,11,5,32.0,46.0,15,12,272.0,0,0,1
PETPERS PET WIPES 50 SHEETS,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0046,0,0.0,0,0,0,0.0,67.0,15,3,170.0,0,0,1
ST. ROCHE DOG DRY SHAMPOO 128G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0047,1,1.0,0,0,0,11.0,160.0,15,4,384.0,0,0,1
WIGGLE WAGGLE 250ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0048,0,0.0,0,0,0,0.0,79.0,15,3,194.0,0,0,1
WIGGLE WAGGLE MDC 500ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0049,0,0.0,0,0,0,0.0,40.17,15,3,116.34,0,0,1
LUXE PET FRAGRANCE PERFUME 60ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0050,1,0.0,0,0,0,0.0,129.0,15,3,296.0,0,0,1
GFUR CARE TICK BUSTER FIPRONIL SPRAY 100ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0051,3,1.0,0,1,2,7.0,160.0,15,5,388.0,0,0,1
LOCAL MDC SINGLE SOAP 50G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0052,0,0.0,0,0,0,0.0,8.0,18,3,58.0,0,0,1
PROLIFIC FIPRONIL SOAP 135G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0055,0,0.0,0,0,0,0.0,45.0,18,3,132.0,0,0,1
PROLIFIC MADRE DE CACAO HEALING CREAM 10G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0056,4,4.0,1,1,2,14.0,95.0,18,6,290.0,0,0,1
PROLIFIC MDC SPECIALIZED SHAMPOO - 1L REPACK PUMP BOTTLE,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0057,0,0.0,0,0,0,0.0,190.0,18,3,422.0,0,0,1
PROLIFIC PET COLOGNE 100ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0058,0,0.0,0,0,0,0.0,78.0,18,3,198.0,0,0,1
PROLIFIC PET COLOGNE 50ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0059,18,8.0,5,13,17,-2.0,80.0,18,17,348.0,0,0,1
PROLIFIC SHAMPOO 100ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0060,25,23.0,9,17,11,164.0,60.0,18,20,694.0,0,0,1
PROLIFIC SHAMPOO 500ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0061,18,9.0,10,8,7,58.0,160.0,18,15,606.0,0,0,1
PROLIFIC SHAMPOO HALF 1/2-GALLON,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0062,5,4.0,0,3,0,33.0,230.0,18,6,598.0,0,0,1
PROLIFIC SHAMPOO 1-GALLON,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0063,2,3.0,2,2,0,17.0,380.0,18,5,858.0,0,0,1
PROLIFIC SPECIALIZED SHAMPOO  - FIPRONIL 250ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0064,2,2.0,8,2,1,13.0,150.0,18,7,406.0,0,0,1
PROLIFIC SPECIALIZED SHAMPOO - FIPRONIL 500ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0065,0,0.0,0,0,0,0.0,159.0,18,3,360.0,0,0,1
