Year,Month,Name,ProductGroup,SKU,Quantity,QuantitySold,Price,LeadTime,Threshold,PredictedThreshold
2025,Jul,CAT HAMMOCK BOWL TYPE FLEECE COTTON  LARGE 45X45CM,PET BEDS,B27,0,0,320,18,3,13.078547
2025,Aug,CAT HAMMOCK BOWL TYPE FLEECE COTTON  LARGE 45X45CM,PET BEDS,B27,0,0,320,18,3,13.078547
2025,Sep,CAT HAMMOCK BOWL TYPE FLEECE COTTON  LARGE 45X45CM,PET BEDS,B27,0,0,320,18,3,13.078547
2025,May,MAT BED LARGE,PET BEDS,B28,2,0,280,18,3,13.377718
2025,Jun,MAT BED LARGE,PET BEDS,B28,2,0,280,18,3,13.377718
2025,Jul,MAT BED LARGE,PET BEDS,B28,2,0,280,18,3,13.377718
2025,Aug,MAT BED LARGE,PET BEDS,B28,2,0,280,18,3,13.377718
2025,Sep,MAT BED LARGE,PET BEDS,B28,2,1,280,18,3,13.377718
2025,May,MAT BED  MEDIUM,PET BEDS,B29,1,0,230,18,3,12.88763
2025,Jun,MAT BED  MEDIUM,PET BEDS,B29,1,1,230,18,3,12.88763
2025,Jul,MAT BED  MEDIUM,PET BEDS,B29,1,0,230,18,3,12.88763
2025,Aug,MAT BED  MEDIUM,PET BEDS,B29,1,0,230,18,3,12.88763
2025,Sep,MAT BED  MEDIUM,PET BEDS,B29,1,0,230,18,3,12.88763
2025,May,PET HAMMOCK IN WOOD FRAME,PET BEDS,B30,1,0,290,15,3,10.991483
2025,Jun,PET HAMMOCK IN WOOD FRAME,PET BEDS,B30,1,1,290,15,3,10.991483
2025,Jul,PET HAMMOCK IN WOOD FRAME,PET BEDS,B30,1,0,290,15,3,10.991483
2025,Aug,PET HAMMOCK IN WOOD FRAME,PET BEDS,B30,1,0,290,15,3,10.991483
2025,Sep,PET HAMMOCK IN WOOD FRAME,PET BEDS,B30,1,0,290,15,3,10.991483
2025,May,CAT BUNK HAMMOCK CBH 38X38X37CM,PET BEDS,B31,,0,580,15,3,10.872336
