Name,ProductGroup,SKU,May,June,July,August,september,Quantity,Price,LEAD TIME,THRESHOLD VALUE,PredictedThreshold,RestockNeeded
NECK CONE PILLOW ROUND NCP - L,CLOTHES AND FASHION ACCESSORIES,C74,0,0.0,0,0,1,2.0,220.0,18,3,56.114757614757615,True
NECK CONE PILLOW ROUND NCP - M,CLOTHES AND FASHION ACCESSORIES,C75,0,0.0,0,0,0,2.0,180.0,18,3,64.94165594165594,True
WASHABLE UNDERWARE - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C76,0,0.0,0,0,1,2.0,90.0,18,3,25.225654225654225,True
SILK RIBBON DRESS - MEDIUM SRD,CLOTHES AND FASHION ACCESSORIES,C77,0,0.0,0,0,0,4.0,280.0,18,3,55.34663234663235,True
SILK RIBBON DRESS - LARGE SRD,CLOTHES AND FASHION ACCESSORIES,C78,0,0.0,0,0,0,1.0,320.0,14,3,32.36164736164736,True
FASHION SUMMER DRESS -FSD,CLOTHES AND FASHION ACCESSORIES,C79,0,0.0,0,0,0,1.0,220.0,14,3,34.18532818532819,True
RUFFLE SKIRT DRESS  - RSD,CLOTHES AND FASHION ACCESSORIES,C80,0,0.0,0,0,0,2.0,170.0,14,3,46.03045903045903,True
SHIMMER DRESS,CLOTHES AND FASHION ACCESSORIES,C81,0,0.0,0,0,0,1.0,160.0,14,3,56.650150150150154,True
PEARL NECKLACE S/M/L,CLOTHES AND FASHION ACCESSORIES,C82,0,0.0,0,1,0,4.0,180.0,14,3,24.422779922779924,True
PET SNEAKERS SHOES - ALL SIZES,CLOTHES AND FASHION ACCESSORIES,C88,0,0.0,0,0,1,,180.0,14,3,49.63835263835264,False
FOLDED HANDBAG PET CARRIER WITH MESH SIDE,"CARRIER, CAGE, AND PLAYPENS",CCO0009,0,1.0,0,0,0,-1.0,320.0,14,3,38.87730587730587,True
PET BAG UFO BACKPACK 30X23X35CM,"CARRIER, CAGE, AND PLAYPENS",CCP0001,0,0.0,0,0,0,1.0,750.0,3,3,12.305662805662806,True
PET BOX CREAMY TRANSPARENT TYPE 33*41*18CM,"CARRIER, CAGE, AND PLAYPENS",CCP0002,0,0.0,0,0,0,0.0,220.0,12,3,38.63835263835264,True
PET CAR SEAT BOX,"CARRIER, CAGE, AND PLAYPENS",CCP0003,0,0.0,0,0,0,0.0,700.0,12,3,28.232303732303734,True
BACKPACK GREY COTTON,"CARRIER, CAGE, AND PLAYPENS",CCP0004,0,0.0,0,0,0,0.0,460.0,12,3,37.27992277992278,True
BOX TYPE BREATHABLE BACKPACK,"CARRIER, CAGE, AND PLAYPENS",CCP0005,0,0.0,0,0,0,0.0,490.0,12,3,40.44165594165594,True
CLEAR BACKPACK CARRIER,"CARRIER, CAGE, AND PLAYPENS",CCP0006,1,2.0,1,0,2,2.0,990.0,12,4,40.603389103389105,True
CLEAR SLING CARRIER - CFH,"CARRIER, CAGE, AND PLAYPENS",CCP0007,2,0.0,0,1,0,3.0,850.0,12,3,17.394251394251395,True
FRONT CARRIER BAG - L,"CARRIER, CAGE, AND PLAYPENS",CCP0010,1,2.0,3,1,0,3.0,390.0,12,4,31.784212784212784,True
FRONT CARRIER BAG - M,"CARRIER, CAGE, AND PLAYPENS",CCP0011,1,1.0,2,1,1,6.0,350.0,12,3,35.783140283140284,True
FRONT CARRIER BAG - S,"CARRIER, CAGE, AND PLAYPENS",CCP0012,3,2.0,1,3,0,4.0,320.0,12,5,47.10767910767911,True
FRONT CARRIER BAG - XL,"CARRIER, CAGE, AND PLAYPENS",CCP0013,0,0.0,0,0,0,0.0,196.0,12,3,51.089232089232084,True
LIGHTWEIGHT PET TRAVEL BACKPACK CLEAR WINDOW CAT FACE PRINT,"CARRIER, CAGE, AND PLAYPENS",CCP0014,0,0.0,0,0,0,1.0,850.0,12,3,29.538610038610038,True
PET BAG BACKPACK ALL SEASONS,"CARRIER, CAGE, AND PLAYPENS",CCP0015,1,0.0,0,0,0,1.0,850.0,3,3,7.911196911196912,True
PET BAG BACKPACK OXFORD CLOTH,"CARRIER, CAGE, AND PLAYPENS",CCP0016,0,0.0,0,0,0,0.0,420.0,6,3,16.71814671814672,True
PET BAG CAT EAR CLEAR SPACE CARRIER 34*10*28CM,"CARRIER, CAGE, AND PLAYPENS",CCP0017,1,0.0,0,0,0,2.0,1100.0,3,3,5.278850278850278,True
PET BAG LEATHER BACKPACK CAPSULE WITH CARTOON STICKERS,"CARRIER, CAGE, AND PLAYPENS",CCP0018,0,0.0,0,0,0,0.0,550.0,6,3,14.219219219219218,True
PET BAG PORTABLE HAND HELD SHOULDER BREATHABLE,"CARRIER, CAGE, AND PLAYPENS",CCP0019,0,0.0,0,0,0,0.0,570.0,3,3,8.399184899184899,True
PET BAG PORTABLE HAND-HELD SHOULDER BAG EVA+PC,"CARRIER, CAGE, AND PLAYPENS",CCP0020,0,0.0,0,1,0,2.0,890.0,6,3,16.417417417417415,True
PET CARRIER ASTRO BACKPACK CLEAR WINDOW 42X34X27CM,"CARRIER, CAGE, AND PLAYPENS",CCP0021,1,1.0,0,1,1,4.0,1300.0,6,3,21.87945087945088,True
PET CARRIER GLOSSY PLASTIC TRANSPARENT SLING HANDBAG,"CARRIER, CAGE, AND PLAYPENS",CCP0022,1,0.0,0,0,0,3.0,1020.0,5,3,10.614114114114113,True
PET CARRIER SHOULDER BAG SLING - LARGE,"CARRIER, CAGE, AND PLAYPENS",CCP0023,0,0.0,0,0,0,0.0,298.0,5,3,18.02016302016302,True
PET CARRIER SHOULDER BAG SLING - SMALL,"CARRIER, CAGE, AND PLAYPENS",CCP0024,0,0.0,0,0,0,0.0,298.0,5,3,17.888245388245387,True
PET CARRIER SLING BAG MESH,"CARRIER, CAGE, AND PLAYPENS",CCP0025,0,0.0,0,0,0,0.0,0.0,5,3,9.62054912054912,True
CAT VILLA CAGE - 4 LAYER 85X62X178CM,"CARRIER, CAGE, AND PLAYPENS",CCP0026,0,0.0,0,0,0,1.0,7880.0,5,3,13.695195195195193,True
PET CAGE MULTIFUNCTIONAL CAT CABINET 100X60X60CM,"CARRIER, CAGE, AND PLAYPENS",CCP0027,0,0.0,0,0,0,0.0,3200.0,5,3,6.943371943371943,True
CAT CONDO 2-3 LAYERS,"CARRIER, CAGE, AND PLAYPENS",CCP0028,0,0.0,0,0,0,0.0,700.0,5,3,9.691977691977693,True
CAT CONDO 5 LAYERS WITH 2 ROOMS,"CARRIER, CAGE, AND PLAYPENS",CCP0029,0,0.0,0,1,0,1.0,3600.0,5,3,11.394680394680396,True
